date,users,new_users,sessions_per_user,sessions,session_duration,bounce_rate,pageviews,pages_per_session
2013-02-27,"488,686","233,719",1.08,,0:04:12,82.55%,,1.25
2013-02-28,"432,027","216,013",1.1,,0:01:16,79.10%,,1.25
2013-03-01,"343,497","180,601",1.12,,0:01:20,80.73%,,1.28
2013-03-02,"233,719","123,942",1.12,,0:02:38,89.19%,,1.84
2013-03-03,"272,673","152,272",1.17,,0:01:35,80.00%,,1.47
2013-03-04,"885,301","478,062",1.11,,0:01:21,87.00%,,1.2
2013-03-05,"704,699","375,367",1.14,,0:01:27,87.67%,,1.36
2013-03-06,"725,947","361,203",1.08,,0:02:45,55.20%,,1.38
2013-03-07,"757,817","400,156",1.08,,0:04:49,0.00%,,1.37
2013-03-08,"555,969","244,343",1.11,,0:05:04,0.00%,,1.43
2013-03-09,"400,156","187,684",1.12,,0:04:23,0.00%,,1.19
2013-03-10,"283,296","169,978",1.07,,0:08:53,0.00%,,1.12
2013-03-11,"389,532","194,766",1.04,,0:05:00,0.00%,,1.39
2013-03-12,"378,909","169,978",1.06,,0:08:42,0.00%,,1.21
2013-03-13,"502,851","223,096",1.13,,0:11:36,0.62%,,1.41
2013-03-14,"417,862","166,437",1.1,,0:05:50,0.77%,,1.22
2013-03-15,"410,780","180,601",1.19,,0:03:54,0.00%,,1.53
2013-03-16,"393,073","177,060",1.14,,0:02:01,0.00%,,1.4
2013-03-17,"410,780","205,390",1.21,,0:02:15,0.00%,,1.76
2013-03-18,"640,958","364,744",1.14,,0:01:17,0.00%,,1.36
2013-03-19,"520,557","308,085",1.12,,0:01:46,0.00%,,1.49
2013-03-20,"456,815","201,849",1.16,,0:01:18,0.00%,,1.28
2013-03-21,"757,817","385,991",1.11,,0:01:41,0.00%,,1.36
2013-03-22,"888,842","474,521",1.1,,0:00:38,0.00%,,1.17
2013-03-23,"718,864","403,697",1.05,,0:00:33,0.00%,,1.23
2013-03-24,"524,098","269,131",1.16,,0:02:36,0.00%,,1.51
2013-03-25,"616,169","279,755",1.07,,0:01:45,0.00%,,2.53
2013-03-26,"630,334","332,873",1.18,,0:01:42,0.00%,,1.55
2013-03-27,"931,336","432,027",1.12,,0:02:23,0.00%,,1.31
2013-03-28,"725,947","347,038",1.22,,0:02:11,0.00%,,1.32
2013-03-29,"686,993","262,049",1.15,,0:02:31,0.00%,,1.34
2013-03-30,"506,392","251,425",1.15,,0:04:42,0.00%,,1.45
2013-03-31,"545,345","240,802",1.08,,0:04:04,0.00%,,1.32
2013-04-01,"552,428","237,261",1.13,,0:02:16,0.00%,,1.25
2013-04-02,"517,016","198,307",1.22,,0:03:32,0.00%,,1.55
2013-04-03,"605,546","237,261",1.15,,0:03:11,0.00%,,1.21
2013-04-04,"573,675","269,131",1.17,,0:03:04,0.00%,,1.17
2013-04-05,"715,323","322,249",1.15,,0:02:17,0.00%,,1.58
2013-04-06,"495,768","247,884",1.16,,0:02:35,0.62%,,1.1
2013-04-07,"439,109","201,849",1.19,,0:08:34,0.00%,,1.44
2013-04-08,"725,947","276,214",1.2,,0:03:57,0.00%,,1.29
2013-04-09,"633,875","262,049",1.12,,0:04:42,0.00%,,1.31
2013-04-10,"538,263","230,178",1.13,,0:04:08,0.00%,,1.35
2013-04-11,"481,604","177,060",1.18,,0:03:03,0.00%,,1.48
2013-04-12,"609,087","244,343",1.11,,0:12:58,0.00%,,1.23
2013-04-13,"414,321","191,225",1.12,,0:03:08,0.00%,,1.11
2013-04-14,"332,873","113,318",1.14,,0:04:38,0.00%,,1.16
2013-04-15,"357,661","131,024",1.16,,0:15:53,0.00%,,1.6
2013-04-16,"587,840","276,214",1.06,,0:03:39,0.00%,,1.24
2013-04-17,"2,099,933","1,455,434",1.08,,0:04:43,0.00%,,1.3
2013-04-18,"1,366,904","757,817",1.08,,0:05:48,0.48%,,1.11
2013-04-19,"810,935","467,439",1.07,,0:07:59,0.00%,,1.23
2013-04-20,"669,287","329,332",1.16,,0:02:22,0.00%,,1.17
2013-04-21,"428,486","198,307",1.12,,0:03:15,0.00%,,1.6
2013-04-22,"499,310","191,225",1.14,,0:03:01,0.00%,,1.25
2013-04-23,"573,675","272,673",1.15,,0:04:34,0.00%,,1.16
2013-04-24,"587,840","230,178",1.14,,0:05:35,0.53%,,1.17
2013-04-25,"825,100","403,697",1.1,,0:05:34,0.00%,,1.35
2013-04-26,"881,759","453,274",1.09,,0:05:07,0.00%,,1.16
2013-04-27,"612,628","354,120",1.1,,0:08:01,0.00%,,1.24
2013-04-28,"524,098","262,049",1.16,,0:06:06,0.00%,,1.12
2013-04-29,"980,913","442,650",1.17,,0:04:10,0.00%,,1.33
2013-04-30,"729,488","315,167",1.14,,0:04:28,0.00%,,1.26
2013-05-01,"662,205","258,508",1.11,,0:04:44,0.00%,,1.22
2013-05-02,"1,023,408","538,263",1.1,,0:04:35,0.00%,,1.2
2013-05-03,"941,960","474,521",1.06,,0:05:51,0.00%,,1.29
2013-05-04,"485,145","208,931",1.08,,0:03:37,0.00%,,1.23
2013-05-05,"446,192","201,849",1.06,,0:06:23,0.00%,,1.2
2013-05-06,"658,664","290,379",1.1,,0:06:50,0.00%,,1.21
2013-05-07,"775,523","357,661",1.11,,0:04:37,0.00%,,1.19
2013-05-08,"800,312","336,414",1.11,,0:04:42,0.00%,,1.26
2013-05-09,"2,531,960","1,586,459",1.08,,0:03:55,0.13%,,1.1
2013-05-10,"1,869,755","1,172,138",1.04,,0:05:05,0.18%,,1.12
2013-05-11,"697,617","393,073",1.11,,0:06:19,0.00%,,1.17
2013-05-12,"357,661","169,978",1.12,,0:09:11,0.00%,,1.35
2013-05-13,"775,523","350,579",1.12,,0:04:59,0.00%,,1.19
2013-05-14,"980,913","456,815",1.07,,0:02:41,0.00%,,1.32
2013-05-15,"1,767,060","1,002,160",1.1,,0:03:33,0.00%,,1.19
2013-05-16,"1,335,033","655,122",1.08,,0:04:17,0.25%,,1.25
2013-05-17,"662,205","318,708",1.12,,0:03:49,0.00%,,1.19
2013-05-18,"456,815","230,178",1.09,,0:02:51,0.00%,,1.26
2013-05-19,"832,183","318,708",1.19,,0:03:15,0.00%,,1.28
2013-05-20,"1,891,002","1,069,443",1.09,,0:05:51,0.00%,,1.13
2013-05-21,"7,425,902","5,619,889",1.07,,0:12:02,0.00%,,1.13
2013-05-22,"4,408,797","3,151,670",1.08,,0:09:47,0.00%,,1.14
2013-05-23,"2,025,568","1,200,468",1.07,,0:10:26,0.00%,,1.17
2013-05-24,"1,080,067","566,592",1.11,,0:09:26,0.00%,,1.26
2013-05-25,"662,205","290,379",1.12,,0:03:52,0.00%,,1.13
2013-05-26,"499,310","216,013",1.13,,0:05:56,0.00%,,1.06
2013-05-27,"513,474","194,766",1.17,,0:07:33,1.18%,,1.08
2013-05-28,"531,180","226,637",1.15,,0:04:48,0.00%,,1.33
2013-05-29,"598,463","240,802",1.14,,0:07:39,0.00%,,1.32
2013-05-30,"860,512","449,733",1.09,,0:04:32,0.00%,,1.14
2013-05-31,"3,155,212","1,657,283",1.08,,0:10:45,0.10%,,1.28
2013-06-01,"2,078,686","1,218,174",1.06,,0:10:01,0.00%,,1.1
2013-06-02,"998,619","485,145",1.09,,0:07:04,0.00%,,1.37
2013-06-03,"839,265","382,450",1.11,,0:06:30,0.00%,,1.2
2013-06-04,"764,900","343,497",1.09,,0:04:36,0.00%,,1.25
2013-06-05,"903,007","492,227",1.08,,0:08:05,0.73%,,1.2
2013-06-06,"1,012,784","488,686",1.08,,0:04:05,0.32%,,1.27
2013-06-07,"1,508,552","701,158",1.08,,0:05:00,0.00%,,1.12
2013-06-08,"1,136,726","495,768",1.08,,0:06:45,0.29%,,1.14
2013-06-09,"917,171","439,109",1.1,,0:05:39,0.00%,,1.19
2013-06-10,"917,171","368,285",1.12,,0:09:07,0.00%,,1.35
2013-06-11,"1,154,432","488,686",1.13,,0:03:56,0.27%,,1.24
2013-06-12,"1,119,020","517,016",1.09,,0:06:04,0.00%,,1.24
2013-06-13,"1,072,984","502,851",1.14,,0:05:16,0.29%,,1.35
2013-06-14,"708,241","262,049",1.12,,0:04:17,0.44%,,1.28
2013-06-15,"630,334","308,085",1.13,,0:04:09,0.00%,,1.19
2013-06-16,"594,922","208,931",1.11,,0:05:42,0.00%,,1.21
2013-06-17,"619,710","251,425",1.14,,0:08:04,1.00%,,1.28
2013-06-18,"899,465","343,497",1.16,,0:05:24,0.00%,,1.15
2013-06-19,"910,089","364,744",1.14,,0:06:42,0.68%,,1.33
2013-06-20,"1,696,236","846,347",1.09,,0:05:16,0.00%,,1.21
2013-06-21,"1,572,294","842,806",1.08,,0:03:57,0.00%,,1.16
2013-06-22,"832,183","396,615",1.09,,0:05:42,0.00%,,1.17
2013-06-23,"609,087","269,131",1.16,,0:04:04,0.00%,,1.21
2013-06-24,"963,207","354,120",1.17,,0:06:03,0.31%,,1.2
2013-06-25,"1,271,292","605,546",1.11,,0:11:03,7.54%,,1.22
2013-06-26,"1,696,236","832,183",1.11,,0:09:42,9.23%,,1.42
2013-06-27,"1,324,410","602,004",1.11,,0:09:27,13.04%,,1.22
2013-06-28,"1,250,045","520,557",1.13,,0:08:43,10.25%,,1.15
2013-06-29,"980,913","488,686",1.12,,0:09:15,14.56%,,1.17
2013-06-30,"814,477","389,532",1.12,,0:05:50,14.79%,,1.13
2013-07-01,"991,537","382,450",1.14,,0:10:52,13.17%,,1.23
2013-07-02,"1,140,267","442,650",1.14,,0:04:06,12.50%,,1.18
2013-07-03,"1,285,457","580,757",1.09,,0:05:49,12.34%,,1.32
2013-07-04,"885,301","332,873",1.16,,0:05:30,11.76%,,1.24
2013-07-05,"722,405","301,002",1.14,,0:06:14,14.59%,,1.2
2013-07-06,"552,428","216,013",1.07,,0:14:16,11.98%,,1.24
2013-07-07,"616,169","230,178",1.14,,0:04:28,17.59%,,1.26
2013-07-08,"1,274,833","559,510",1.13,,0:05:06,12.78%,,1.18
2013-07-09,"4,692,094","2,726,726",1.08,,0:05:09,13.47%,,1.17
2013-07-10,"2,471,759","1,370,445",1.06,,0:05:04,10.77%,,1.16
2013-07-11,"1,423,563","725,947",1.07,,0:06:20,12.06%,,1.26
2013-07-12,"1,111,938","481,604",1.13,,0:06:06,11.52%,,1.23
2013-07-13,"892,383","339,955",1.1,,0:03:35,13.04%,,1.2
2013-07-14,"878,218","364,744",1.13,,0:04:42,10.75%,,1.2
2013-07-15,"1,115,479","481,604",1.13,,0:04:38,15.45%,,1.17
2013-07-16,"1,837,884","832,183",1.14,,0:06:09,8.78%,,1.28
2013-07-17,"1,565,212","757,817",1.11,,0:09:37,12.07%,,1.17
2013-07-18,"1,296,080","602,004",1.11,,0:09:11,14.32%,,1.6
2013-07-19,"1,267,751","587,840",1.13,,0:05:46,17.73%,,1.32
2013-07-20,"973,831","463,898",1.12,,0:04:52,14.61%,,1.63
2013-07-21,"1,072,984","509,933",1.15,,0:05:43,16.67%,,1.14
2013-07-22,"1,536,882","694,076",1.1,,0:04:48,12.94%,,1.21
2013-07-23,"1,763,519","860,512",1.15,,0:04:10,12.24%,,1.23
2013-07-24,"1,331,492","626,793",1.11,,0:04:09,16.51%,,1.29
2013-07-25,"1,175,679","474,521",1.12,,0:03:11,13.75%,,1.29
2013-07-26,"1,101,314","456,815",1.1,,0:03:01,14.33%,,1.17
2013-07-27,"725,947","368,285",1.12,,0:07:36,12.66%,,1.3
2013-07-28,"747,194","269,131",1.12,,0:07:18,16.88%,,1.25
2013-07-29,"903,007","389,532",1.18,,0:03:43,18.67%,,1.42
2013-07-30,"1,143,808","417,862",1.15,,0:05:23,14.48%,,1.51
2013-07-31,"1,430,646","630,334",1.1,,0:03:37,12.36%,,1.24
2013-08-01,"1,115,479","435,568",1.1,,0:07:20,9.28%,,1.23
2013-08-02,"1,175,679","534,722",1.14,,0:06:03,13.76%,,1.16
2013-08-03,"846,347","357,661",1.17,,0:06:17,14.29%,,1.25
2013-08-04,"715,323","230,178",1.18,,0:05:46,13.81%,,1.26
2013-08-05,"959,666","393,073",1.14,,0:04:46,12.30%,,1.38
2013-08-06,"1,133,185","449,733",1.12,,0:03:48,13.41%,,1.31
2013-08-07,"1,611,247","740,111",1.12,,0:03:33,14.90%,,1.37
2013-08-08,"1,505,011","658,664",1.11,,0:03:55,14.38%,,1.14
2013-08-09,"1,483,764","733,029",1.1,,0:04:22,13.07%,,1.16
2013-08-10,"892,383","385,991",1.09,,0:06:18,15.64%,,1.51
2013-08-11,"771,982","332,873",1.12,,0:03:08,13.11%,,1.29
2013-08-12,"1,016,325","485,145",1.13,,0:05:24,13.58%,,1.44
2013-08-13,"1,317,327","694,076",1.11,,0:05:46,11.17%,,1.35
2013-08-14,"1,618,330","708,241",1.1,,0:04:37,13.75%,,1.26
2013-08-15,"2,099,933","1,175,679",1.13,,0:05:33,10.76%,,1.2
2013-08-16,"1,830,802","895,924",1.09,,0:02:56,13.65%,,1.18
2013-08-17,"949,042","428,486",1.08,,0:08:01,13.84%,,1.11
2013-08-18,"892,383","432,027",1.1,,0:03:46,15.83%,,1.27
2013-08-19,"888,842","332,873",1.19,,0:04:53,12.37%,,1.36
2013-08-20,"1,129,644","485,145",1.16,,0:03:28,16.44%,,1.31
2013-08-21,"1,228,797","517,016",1.11,,0:04:20,14.29%,,1.23
2013-08-22,"1,285,457","559,510",1.1,,0:03:59,15.79%,,1.33
2013-08-23,"1,310,245","488,686",1.15,,0:07:08,15.57%,,1.43
2013-08-24,"1,179,220","492,227",1.08,,0:05:05,15.51%,,1.15
2013-08-25,"970,290","371,826",1.11,,0:08:07,13.49%,,1.18
2013-08-26,"1,009,243","435,568",1.09,,0:06:00,14.42%,,1.28
2013-08-27,"1,108,396","456,815",1.11,,0:07:52,13.54%,,1.42
2013-08-28,"1,696,236","750,735",1.11,,0:06:06,15.25%,,1.28
2013-08-29,"1,575,835","701,158",1.11,,0:06:55,11.79%,,1.39
2013-08-30,"1,667,906","764,900",1.11,,0:04:10,14.01%,,1.28
2013-08-31,"1,519,176","662,205",1.11,,0:05:20,13.21%,,1.23
2013-09-01,"1,830,802","888,842",1.1,,0:03:27,12.52%,,1.16
2013-09-02,"1,919,332","952,584",1.07,,0:04:52,11.07%,,1.21
2013-09-03,"1,646,659","757,817",1.12,,0:06:13,13.63%,,1.34
2013-09-04,"2,832,962","1,423,563",1.07,,0:05:02,11.48%,,1.22
2013-09-05,"3,105,635","1,607,706",1.09,,0:06:00,13.65%,,1.15
2013-09-06,"1,731,648","825,100",1.1,,0:08:29,17.81%,,1.21
2013-09-07,"1,366,904","669,287",1.1,,0:07:36,13.41%,,1.38
2013-09-08,"931,336","410,780",1.13,,0:05:12,17.57%,,1.41
2013-09-09,"1,338,575","552,428",1.15,,0:06:10,13.63%,,1.39
2013-09-10,"2,932,116","1,441,269",1.09,,0:05:16,11.92%,,1.17
2013-09-11,"3,704,098","2,174,298",1.07,,0:06:32,10.38%,,1.16
2013-09-12,"2,446,971","1,331,492",1.09,,0:06:39,11.64%,,1.33
2013-09-13,"1,604,165","655,122",1.08,,0:08:57,15.95%,,1.13
2013-09-14,"1,540,423","612,628",1.1,,0:04:51,14.38%,,1.34
2013-09-15,"1,458,976","580,757",1.1,,0:04:54,15.86%,,1.33
2013-09-16,"2,199,087","853,430",1.12,,0:06:07,14.63%,,1.27
2013-09-17,"3,286,236","1,352,739",1.12,,0:07:35,13.39%,,1.21
2013-09-18,"2,723,185","1,221,715",1.09,,0:07:16,14.49%,,1.38
2013-09-19,"2,415,100","1,009,243",1.1,,0:05:53,16.82%,,1.24
2013-09-20,"2,266,370","1,048,196",1.12,,0:05:15,17.43%,,1.3
2013-09-21,"1,558,129","655,122",1.15,,0:08:04,16.93%,,1.31
2013-09-22,"1,370,445","527,639",1.13,,0:04:29,17.16%,,1.28
2013-09-23,"1,742,272","637,416",1.12,,0:06:33,14.94%,,1.36
2013-09-24,"1,728,107","733,029",1.08,,0:04:04,19.51%,,1.2
2013-09-25,"2,174,298","963,207",1.12,,0:05:32,18.37%,,1.27
2013-09-26,"2,857,751","1,168,597",1.14,,0:05:49,12.38%,,1.24
2013-09-27,"2,730,267","1,172,138",1.09,,0:06:19,11.41%,,1.14
2013-09-28,"1,990,156","885,301",1.12,,0:08:26,10.94%,,1.35
2013-09-29,"1,834,343","782,606",1.08,,0:09:27,9.43%,,1.19
2013-09-30,"2,613,408","1,051,737",1.14,,0:07:11,11.22%,,1.2
2013-10-01,"2,659,443","1,179,220",1.08,,0:09:36,9.96%,,1.29
2013-10-02,"2,478,842","1,069,443",1.08,,0:09:52,10.54%,,1.21
2013-10-03,"1,795,390","729,488",1.08,,0:05:29,13.55%,,1.23
2013-10-04,"1,674,989","640,958",1.11,,0:08:09,10.82%,,1.41
2013-10-05,"1,526,258","584,298",1.12,,0:05:59,10.58%,,1.26
2013-10-06,"1,441,269","626,793",1.09,,0:06:23,8.78%,,1.19
2013-10-07,"1,738,731","704,699",1.11,,0:07:12,10.81%,,1.2
2013-10-08,"2,762,138","1,122,561",1.11,,0:05:06,9.67%,,1.17
2013-10-09,"3,930,735","1,809,555",1.11,,0:05:34,10.53%,,1.22
2013-10-10,"3,385,390","1,586,459",1.1,,0:03:31,11.14%,,1.33
2013-10-11,"2,815,256","1,281,915",1.07,,0:03:56,13.47%,,1.2
2013-10-12,"1,536,882","619,710",1.12,,0:05:30,13.35%,,1.26
2013-10-13,"1,628,953","591,381",1.1,,0:04:19,15.78%,,1.24
2013-10-14,"1,958,285","803,853",1.1,,0:04:42,14.94%,,1.24
2013-10-15,"2,478,842","1,104,855",1.1,,0:05:11,12.82%,,1.21
2013-10-16,"3,098,552","1,285,457",1.12,,0:06:26,12.50%,,1.31
2013-10-17,"3,027,728","1,296,080",1.09,,0:07:16,9.97%,,1.2
2013-10-18,"2,252,205","949,042",1.11,,0:06:56,11.21%,,1.25
2013-10-19,"1,306,704","534,722",1.14,,0:06:20,15.20%,,1.29
2013-10-20,"1,604,165","669,287",1.13,,0:04:28,13.23%,,1.31
2013-10-21,"1,685,612","633,875",1.1,,0:06:16,11.28%,,1.29
2013-10-22,"1,646,659","658,664",1.08,,0:05:26,13.29%,,1.32
2013-10-23,"1,990,156","835,724",1.15,,0:06:08,13.49%,,1.34
2013-10-24,"1,791,849","803,853",1.13,,0:04:58,14.19%,,1.25
2013-10-25,"1,979,532","818,018",1.12,,0:06:10,13.58%,,1.25
2013-10-26,"1,104,855","421,403",1.15,,0:05:38,15.92%,,1.21
2013-10-27,"1,150,891","396,615",1.16,,0:06:57,14.55%,,1.45
2013-10-28,"1,997,238","718,864",1.16,,0:05:11,12.98%,,1.41
2013-10-29,"2,117,639","747,194",1.14,,0:05:08,13.38%,,1.28
2013-10-30,"7,192,183","3,636,815",1.12,,0:04:33,8.84%,,1.2
2013-10-31,"6,788,486","3,976,771",1.07,,0:03:35,7.92%,,1.21
2013-11-01,"4,277,773","1,915,791",1.1,,0:05:59,11.49%,,1.27
2013-11-02,"2,404,477","1,083,608",1.12,"2,689,687",0:05:10,11.86%,"3,771,619",1.49
2013-11-03,"2,312,405","963,207",1.19,"2,739,241",0:04:32,12.53%,"3,496,318",1.31
2013-11-04,"3,236,659","1,384,610",1.08,"3,482,553",0:04:58,12.60%,"4,564,485",1.34
2013-11-05,"3,792,628","1,646,659",1.1,"4,176,311",0:04:38,11.78%,"5,318,808",1.24
2013-11-06,"6,969,087","3,530,579",1.1,"7,689,147",0:04:59,12.06%,"9,517,143",1.25
2013-11-07,"9,483,341","4,872,695",1.1,"10,406,364",0:05:23,14.12%,"12,352,740",1.19
2013-11-08,"8,123,519","4,008,641",1.1,"8,897,717",0:05:43,13.53%,"11,061,580",1.26
2013-11-09,"5,258,686","2,446,971",1.09,"5,748,277",0:05:41,13.98%,"6,989,883",1.22
2013-11-10,"3,714,722","1,604,165",1.1,"4,077,202",0:05:31,16.84%,"4,864,562",1.2
2013-11-11,"4,012,183","1,625,412",1.14,"4,569,991",0:05:29,15.49%,"5,913,458",1.28
2013-11-12,"4,773,541","1,922,873",1.12,"5,360,103",0:06:45,15.06%,"6,816,444",1.26
2013-11-13,"4,405,256","1,891,002",1.08,"4,776,466",0:05:25,18.68%,"5,638,157",1.16
2013-11-14,"3,534,120","1,462,517",1.12,"3,958,823",0:05:13,18.34%,"5,142,616",1.31
2013-11-15,"2,843,586","977,372",1.13,"3,198,993",0:04:48,18.36%,"4,074,449",1.27
2013-11-16,"2,553,207","1,051,737",1.12,"2,854,868",0:07:48,17.37%,"3,515,589",1.2
2013-11-17,"3,374,766","1,590,000",1.12,"3,763,360",0:05:25,20.04%,"4,250,642",1.13
2013-11-18,"5,471,158","2,939,198",1.08,"5,929,976",0:04:01,16.42%,"7,113,768",1.2
2013-11-19,"9,401,893","4,723,964",1.1,"10,359,563",0:03:39,23.31%,"12,129,746",1.16
2013-11-20,"8,945,078","4,635,434",1.09,"9,729,125",0:04:54,27.37%,"11,317,609",1.17
2013-11-21,"6,193,564","2,847,127",1.09,"6,775,149",0:04:34,24.83%,"8,033,273",1.18
2013-11-22,"4,780,624","2,149,510",1.11,"5,307,796",0:04:45,24.22%,"6,271,349",1.19
2013-11-23,"4,741,670","2,131,804",1.11,"5,241,724",0:03:42,22.48%,"6,125,439",1.17
2013-11-24,"4,359,221","1,912,249",1.12,"4,859,056",0:05:09,21.49%,"5,723,500",1.2
2013-11-25,"4,968,307","2,156,592",1.1,"5,489,495",0:03:27,21.68%,"6,392,481",1.17
2013-11-26,"5,942,138","2,716,102",1.12,"6,623,733",0:01:57,28.65%,"7,779,996",1.18
2013-11-27,"4,585,857","2,110,557",1.09,"5,004,966",0:02:04,32.96%,"5,885,928",1.16
2013-11-28,"2,443,430","1,119,020",1.09,"2,673,169",0:03:05,32.32%,"3,135,674",1.16
2013-11-29,"1,919,332","828,641",1.12,"2,155,604",0:02:15,32.35%,"2,623,615",1.23
2013-11-30,"2,216,793","1,005,702",1.1,"2,439,164",0:01:54,30.77%,"3,058,590",1.18
2013-12-01,"2,478,842","970,290",1.1,"2,739,241",0:02:09,34.67%,"3,243,042",1.19
2013-12-02,"3,102,094","1,299,621",1.14,"3,521,095",0:03:27,34.97%,"4,446,105",1.26
2013-12-03,"3,300,401","1,522,717",1.12,"3,691,782",0:03:02,28.57%,"5,018,731",1.39
2013-12-04,"3,519,955","1,565,212",1.12,"3,931,293",0:04:31,29.28%,"5,985,036",1.55
2013-12-05,"5,446,370","2,471,759",1.12,"6,092,403",0:02:41,30.16%,"8,782,090",1.47
2013-12-06,"6,643,296","3,325,189",1.11,"7,347,774",0:02:53,24.48%,"10,142,075",1.41
2013-12-07,"4,511,492","2,305,323",1.08,"4,883,833",0:02:53,24.51%,"6,615,474",1.36
2013-12-08,"3,640,356","1,752,895",1.08,"3,936,799",0:02:29,26.35%,"5,511,519",1.35
2013-12-09,"3,693,474","1,682,071",1.1,"4,074,449",0:04:45,26.50%,"6,075,885",1.51
2013-12-10,"4,228,196","1,972,450",1.08,"4,575,497",0:03:06,27.01%,"6,703,571",1.44
2013-12-11,"4,203,408","1,798,931",1.1,"4,641,569",0:04:39,27.23%,"6,843,974",1.41
2013-12-12,"4,539,822","1,887,461",1.12,"5,062,779",0:03:37,28.53%,"7,077,979",1.4
2013-12-13,"4,270,690","1,784,766",1.11,"4,757,195",0:03:38,27.31%,"6,766,890",1.43
2013-12-14,"3,502,249","1,533,341",1.08,"3,790,890",0:02:33,26.42%,"5,415,164",1.4
