date,pageviews
2013-06-01,"2,583,221"
2013-06-02,"1,310,142"
2013-06-03,"1,187,211"
2013-06-04,"1,059,268"
2013-06-05,"1,215,472"
2013-06-06,"1,350,053"
2013-06-07,"1,947,515"
2013-06-08,"1,462,916"
2013-06-09,"1,214,246"
2013-06-10,"1,283,596"
2013-06-11,"1,616,095"
2013-06-12,"1,510,833"
2013-06-13,"1,545,173"
2013-06-14,"1,028,170"
2013-06-15,"905,381"
2013-06-16,"866,929"
2013-06-17,"943,855"
2013-06-18,"1,331,205"
2013-06-19,"1,345,025"
2013-06-20,"2,350,183"
2013-06-21,"2,167,560"
2013-06-22,"1,149,128"
2013-06-23,"909,779"
2013-06-24,"1,441,403"
2013-06-25,"1,781,044"
2013-06-26,"2,357,433"
2013-06-27,"1,850,445"
2013-06-28,"1,718,789"
2013-06-29,"1,320,819"
2013-06-30,"1,112,585"
2013-07-01,"1,444,430"
2013-07-02,"1,655,177"
2013-07-03,"1,800,347"
2013-07-04,"1,313,041"
2013-07-05,"1,079,168"
2013-07-06,"764,263"
2013-07-07,"872,954"
2013-07-08,"1,787,653"
2013-07-09,"5,801,301"
2013-07-10,"3,149,382"
2013-07-11,"1,939,959"
2013-07-12,"1,626,948"
2013-07-13,"1,241,872"
2013-07-14,"1,242,697"
2013-07-15,"1,583,199"
2013-07-16,"2,591,581"
2013-07-17,"2,135,776"
2013-07-18,"1,802,697"
2013-07-19,"1,783,809"
2013-07-20,"1,342,056"
2013-07-21,"1,507,499"
2013-07-22,"2,065,761"
2013-07-23,"2,516,096"
2013-07-24,"1,851,716"
2013-07-25,"1,640,886"
2013-07-26,"1,503,631"
2013-07-27,"1,019,514"
2013-07-28,"1,062,556"
2013-07-29,"1,398,808"
2013-07-30,"1,740,105"
2013-07-31,"1,975,778"
2013-08-01,"1,534,354"
2013-08-02,"1,680,698"
2013-08-03,"1,262,876"
2013-08-04,"1,097,404"
2013-08-05,"1,416,732"
2013-08-06,"1,630,785"
2013-08-07,"2,267,703"
2013-08-08,"2,087,555"
2013-08-09,"2,033,283"
2013-08-10,"1,227,975"
2013-08-11,"1,075,542"
2013-08-12,"1,485,425"
2013-08-13,"1,866,952"
2013-08-14,"2,209,258"
2013-08-15,"2,889,351"
2013-08-16,"2,461,124"
2013-08-17,"1,276,305"
2013-08-18,"1,227,676"
2013-08-19,"1,384,564"
2013-08-20,"1,710,089"
2013-08-21,"1,775,850"
2013-08-22,"1,835,754"
2013-08-23,"1,890,425"
2013-08-24,"1,568,667"
2013-08-25,"1,343,378"
2013-08-26,"1,445,713"
2013-08-27,"1,578,889"
2013-08-28,"2,342,163"
2013-08-29,"2,195,644"
2013-08-30,"2,320,323"
2013-08-31,"2,079,785"
2013-09-01,"2,444,609"
2013-09-02,"2,520,127"
2013-09-03,"2,313,185"
2013-09-04,"3,656,754"
2013-09-05,"4,070,641"
2013-09-06,"2,401,455"
2013-09-07,"1,926,304"
2013-09-08,"1,344,223"
2013-09-09,"1,985,853"
2013-09-10,"3,906,254"
2013-09-11,"4,684,618"
2013-09-12,"3,293,980"
2013-09-13,"2,200,822"
2013-09-14,"2,174,209"
2013-09-15,"2,056,473"
2013-09-16,"3,149,367"
2013-09-17,"4,580,477"
2013-09-18,"3,777,947"
2013-09-19,"3,355,913"
2013-09-20,"3,210,291"
2013-09-21,"2,308,417"
2013-09-22,"1,988,266"
2013-09-23,"2,484,864"
2013-09-24,"2,369,228"
2013-09-25,"3,062,440"
2013-09-26,"4,094,432"
2013-09-27,"3,724,942"
2013-09-28,"2,816,496"
2013-09-29,"2,503,102"
2013-09-30,"3,717,963"
2013-10-01,"3,542,142"
2013-10-02,"3,278,370"
2013-10-03,"2,446,220"
2013-10-04,"2,360,061"
2013-10-05,"2,145,447"
2013-10-06,"1,973,380"
2013-10-07,"2,440,387"
2013-10-08,"3,652,618"
2013-10-09,"5,359,942"
2013-10-10,"4,555,189"
2013-10-11,"3,706,752"
2013-10-12,"2,150,568"
2013-10-13,"2,229,221"
2013-10-14,"2,724,181"
2013-10-15,"3,369,066"
2013-10-16,"4,279,598"
2013-10-17,"4,042,148"
2013-10-18,"3,110,138"
2013-10-19,"1,888,561"
2013-10-20,"2,272,782"
2013-10-21,"2,310,862"
2013-10-22,"2,275,056"
2013-10-23,"2,907,534"
2013-10-24,"2,567,642"
2013-10-25,"2,822,360"
2013-10-26,"1,623,695"
2013-10-27,"1,715,222"
2013-10-28,"3,016,408"
2013-10-29,"3,150,229"
2013-10-30,"9,881,870"
2013-10-31,"8,809,373"
2013-11-01,"5,941,750"
2013-11-02,"3,408,924"
2013-11-03,"3,508,157"
2013-11-04,"4,406,569"
2013-11-05,"5,219,101"
2013-11-06,"9,412,489"
2013-11-07,"12,453,556"
2013-11-08,"10,837,856"
2013-11-09,"7,096,066"
2013-11-10,"5,045,631"
2013-11-11,"5,808,971"
2013-11-12,"6,750,031"
2013-11-13,"5,902,545"
2013-11-14,"4,908,644"
2013-11-15,"4,139,987"
2013-11-16,"3,628,143"
2013-11-17,"4,580,330"
2013-11-18,"7,123,826"
2013-11-19,"12,002,291"
2013-11-20,"11,255,859"
2013-11-21,"8,118,128"
2013-11-22,"6,431,846"
2013-11-23,"6,278,513"
2013-11-24,"5,841,028"
2013-11-25,"6,727,105"
2013-11-26,"7,993,231"
2013-11-27,"6,078,597"
2013-11-28,"3,273,832"
2013-11-29,"2,706,280"
2013-11-30,"3,021,497"
2013-12-01,"3,349,938"
2013-12-02,"4,346,116"
2013-12-03,"4,994,753"
2013-12-04,"5,623,706"
2013-12-05,"8,478,428"
2013-12-06,"10,224,128"
2013-12-07,"6,932,726"
2013-12-08,"5,432,891"
2013-12-09,"5,880,358"
2013-12-10,"6,798,339"
2013-12-11,"6,938,071"
2013-12-12,"7,345,064"
2013-12-13,"6,992,544"
2013-12-14,"5,689,192"
2013-12-15,"4,491,467"
2013-12-16,"6,196,553"
2013-12-17,"5,469,145"
2013-12-18,"5,974,606"
2013-12-19,"6,046,389"
2013-12-20,"4,483,602"
2013-12-21,"3,081,795"
2013-12-22,"3,441,659"
2013-12-23,"5,984,002"
2013-12-24,"5,267,864"
2013-12-25,"2,574,763"
2013-12-26,"3,315,237"
2013-12-27,"4,097,139"
2013-12-28,"5,312,792"
2013-12-29,"4,711,767"
2013-12-30,"5,684,576"
2013-12-31,"4,203,528"
2014-01-01,"2,603,815"
2014-01-02,"4,320,483"
2014-01-03,"4,203,922"
2014-01-04,"4,618,860"
2014-01-05,"3,989,538"
2014-01-06,"4,226,843"
2014-01-07,"4,790,073"
2014-01-08,"6,434,337"
2014-01-09,"6,238,084"
2014-01-10,"4,212,154"
2014-01-11,"3,748,179"
2014-01-12,"3,286,402"
2014-01-13,"4,251,702"
2014-01-14,"5,168,147"
2014-01-15,"4,017,958"
2014-01-16,"3,985,365"
2014-01-17,"3,598,281"
2014-01-18,"3,774,196"
2014-01-19,"3,425,784"
2014-01-20,"2,804,054"
2014-01-21,"3,818,805"
2014-01-22,"4,258,122"
2014-01-23,"4,150,935"
2014-01-24,"4,359,253"
2014-01-25,"3,043,975"
2014-01-26,"3,698,504"
2014-01-27,"3,131,622"
2014-01-28,"3,142,322"
2014-01-29,"4,336,349"
2014-01-30,"4,511,390"
2014-01-31,"3,390,009"
2014-02-01,"2,601,011"
2014-02-02,"3,168,366"
2014-02-03,"5,271,391"
2014-02-04,"5,009,594"
2014-02-05,"4,406,733"
2014-02-06,"4,417,563"
2014-02-07,"4,443,031"
2014-02-08,"4,610,616"
2014-02-09,"5,756,379"
2014-02-10,"9,006,493"
2014-02-11,"5,695,403"
2014-02-12,"6,125,004"
2014-02-13,"6,218,671"
2014-02-14,"4,349,828"
2014-02-15,"3,959,167"
2014-02-16,"3,846,601"
2014-02-17,"4,267,346"
2014-02-18,"3,774,506"
2014-02-19,"3,485,998"
2014-02-20,"3,625,777"
2014-02-21,"3,084,789"
2014-02-22,"2,477,830"
2014-02-23,"2,582,995"
2014-02-24,"3,646,146"
2014-02-25,"5,367,516"
2014-02-26,"4,197,756"
2014-02-27,"3,709,756"
2014-02-28,"4,323,272"
2014-03-01,"3,189,887"
2014-03-02,"2,676,523"
2014-03-03,"4,975,788"
2014-03-04,"5,131,751"
2014-03-05,"4,271,478"
2014-03-06,"5,050,925"
2014-03-07,"5,904,556"
2014-03-08,"4,337,125"
2014-03-09,"3,236,995"
2014-03-10,"3,818,218"
2014-03-11,"4,806,363"
2014-03-12,"4,538,323"
2014-03-13,"3,464,428"
2014-03-14,"3,314,848"
2014-03-15,"2,384,788"
2014-03-16,"2,805,952"
2014-03-17,"3,494,558"
2014-03-18,"2,920,760"
2014-03-19,"3,382,817"
2014-03-20,"5,515,034"
2014-03-21,"4,784,657"
2014-03-22,"3,639,551"
2014-03-23,"2,899,248"
2014-03-24,"5,018,041"
2014-03-25,"4,519,864"
2014-03-26,"4,649,897"
2014-03-27,"3,394,643"
2014-03-28,"4,058,144"
2014-03-29,"5,619,561"
2014-03-30,"5,440,579"
2014-03-31,"7,605,803"
2014-04-01,"8,059,757"
2014-04-02,"5,521,957"
2014-04-03,"4,582,995"
2014-04-04,"3,536,469"
2014-04-05,"2,826,187"
2014-04-06,"3,064,352"
2014-04-07,"3,557,014"
2014-04-08,"5,244,385"
2014-04-09,"5,916,497"
2014-04-10,"6,034,738"
2014-04-11,"3,770,643"
2014-04-12,"2,569,532"
2014-04-13,"3,234,247"
2014-04-14,"4,267,925"
2014-04-15,"4,886,248"
2014-04-16,"3,901,033"
2014-04-17,"3,252,238"
2014-04-18,"4,174,736"
2014-04-19,"3,239,197"
2014-04-20,"2,892,004"
2014-04-21,"3,540,162"
2014-04-22,"3,226,256"
2014-04-23,"3,783,222"
2014-04-24,"3,653,445"
2014-04-25,"3,615,143"
2014-04-26,"3,415,191"
2014-04-27,"3,292,034"
2014-04-28,"3,430,205"
2014-04-29,"2,902,268"
2014-04-30,"4,938,939"
2014-05-01,"6,357,893"
2014-05-02,"4,306,237"
2014-05-03,"2,643,960"
2014-05-04,"2,073,609"
2014-05-05,"3,353,739"
2014-05-06,"3,774,675"
2014-05-07,"4,125,217"
2014-05-08,"4,002,630"
2014-05-09,"3,592,678"
2014-05-10,"3,915,475"
2014-05-11,"3,260,904"
2014-05-12,"4,806,150"
2014-05-13,"4,665,934"
2014-05-14,"3,933,536"
2014-05-15,"3,798,955"
2014-05-16,"3,264,410"
2014-05-17,"2,374,184"
2014-05-18,"2,400,398"
2014-05-19,"2,923,873"
2014-05-20,"3,907,817"
2014-05-21,"3,319,493"
2014-05-22,"2,830,900"
2014-05-23,"2,593,467"
2014-05-24,"2,756,514"
2014-05-25,"2,471,996"
2014-05-26,"2,411,316"
2014-05-27,"3,416,816"
2014-05-28,"4,949,551"
2014-05-29,"4,079,398"
2014-05-30,"3,738,216"
2014-05-31,"2,975,788"
2014-06-01,"3,684,629"
2014-06-02,"4,413,250"
2014-06-03,"4,441,970"
2014-06-04,"3,988,100"
2014-06-05,"5,101,408"
2014-06-06,"6,516,570"
2014-06-07,"5,917,414"
2014-06-08,"4,647,176"
2014-06-09,"7,056,663"
2014-06-10,"7,258,108"
2014-06-11,"5,153,253"
2014-06-12,"4,748,179"
2014-06-13,"5,152,791"
2014-06-14,"3,204,512"
2014-06-15,"2,694,678"
2014-06-16,"3,426,181"
2014-06-17,"3,965,422"
2014-06-18,"2,929,075"
2014-06-19,"3,124,925"
2014-06-20,"2,710,226"
2014-06-21,"2,797,523"
2014-06-22,"3,460,725"
2014-06-23,"3,770,081"
2014-06-24,"4,051,157"
2014-06-25,"3,416,841"
2014-06-26,"2,620,085"
2014-06-27,"3,364,379"
2014-06-28,"3,176,155"
2014-06-29,"3,220,576"
2014-06-30,"3,023,200"
2014-07-01,"3,230,020"
2014-07-02,"2,996,810"
2014-07-03,"2,729,371"
2014-07-04,"2,001,362"
2014-07-05,"1,982,216"
2014-07-06,"1,957,201"
2014-07-07,"3,691,794"
2014-07-08,"3,818,669"
2014-07-09,"3,160,953"
2014-07-10,"2,883,234"
2014-07-11,"3,455,224"
2014-07-12,"2,946,608"
2014-07-13,"2,545,050"
2014-07-14,"2,371,679"
2014-07-15,"2,716,817"
2014-07-16,"3,757,537"
2014-07-17,"3,371,976"
2014-07-18,"2,680,821"
2014-07-19,"2,300,829"
2014-07-20,"1,879,180"
2014-07-21,"2,509,808"
2014-07-22,"2,267,936"
2014-07-23,"2,714,397"
2014-07-24,"3,265,250"
2014-07-25,"3,110,120"
2014-07-26,"3,128,505"
2014-07-27,"2,165,912"
2014-07-28,"2,499,914"
2014-07-29,"2,281,371"
2014-07-30,"2,200,541"
2014-07-31,"2,790,670"
2014-08-01,"3,995,238"
2014-08-02,"4,228,655"
2014-08-03,"3,445,733"
2014-08-04,"3,651,778"
2014-08-05,"2,975,092"
2014-08-06,"2,950,447"
2014-08-07,"2,388,964"
2014-08-08,"2,341,776"
2014-08-09,"1,924,573"
2014-08-10,"1,617,556"
2014-08-11,"1,594,645"
2014-08-12,"3,109,535"
2014-08-13,"3,540,899"
2014-08-14,"3,023,307"
2014-08-15,"5,490,467"
2014-08-16,"4,377,430"
2014-08-17,"3,347,438"
2014-08-18,"3,079,027"
2014-08-19,"3,264,787"
2014-08-20,"7,692,700"
2014-08-21,"11,521,430"
2014-08-22,"6,394,474"
2014-08-23,"5,426,182"
2014-08-24,"4,307,398"
2014-08-25,"3,432,769"
2014-08-26,"3,845,395"
2014-08-27,"3,593,117"
2014-08-28,"2,962,520"
2014-08-29,"4,483,908"
2014-08-30,"4,427,868"
2014-08-31,"4,308,613"
2014-09-01,"4,168,187"
2014-09-02,"4,574,893"
2014-09-03,"4,635,384"
2014-09-04,"4,453,212"
2014-09-05,"4,085,101"
2014-09-06,"3,321,888"
2014-09-07,"3,087,260"
2014-09-08,"2,543,378"
2014-09-09,"3,647,189"
2014-09-10,"4,103,257"
2014-09-11,"3,440,584"
2014-09-12,"3,723,870"
2014-09-13,"3,215,966"
2014-09-14,"2,623,772"
2014-09-15,"2,709,985"
2014-09-16,"3,091,243"
2014-09-17,"3,994,462"
2014-09-18,"3,089,940"
2014-09-19,"2,773,423"
2014-09-20,"2,686,774"
2014-09-21,"2,727,713"
2014-09-22,"4,414,183"
2014-09-23,"4,919,661"
2014-09-24,"4,750,805"
2014-09-25,"3,306,724"
2014-09-26,"3,470,493"
2014-09-27,"3,606,098"
2014-09-28,"3,101,004"
2014-09-29,"3,703,880"
2014-09-30,"4,539,791"
2014-10-01,"4,847,960"
2014-10-02,"3,925,548"
2014-10-03,"3,802,470"
2014-10-04,"3,502,843"
2014-10-05,"2,776,691"
2014-10-06,"4,327,211"
2014-10-07,"3,997,011"
2014-10-08,"3,705,854"
2014-10-09,"4,336,942"
2014-10-10,"4,160,116"
2014-10-11,"3,338,247"
2014-10-12,"2,467,193"
2014-10-13,"2,736,403"
2014-10-14,"2,818,954"
2014-10-15,"2,814,602"
2014-10-16,"2,717,510"
2014-10-17,"2,311,391"
2014-10-18,"1,815,537"
2014-10-19,"2,546,481"
2014-10-20,"3,108,995"
2014-10-21,"3,061,775"
2014-10-22,"3,322,135"
2014-10-23,"4,078,211"
2014-10-24,"3,748,890"
2014-10-25,"2,687,263"
2014-10-26,"4,640,464"
2014-10-27,"3,637,153"
2014-10-28,"3,721,759"
2014-10-29,"4,390,555"
2014-10-30,"4,178,567"
2014-10-31,"3,091,184"
2014-11-01,"2,853,124"
2014-11-02,"2,694,668"
2014-11-03,"2,710,517"
2014-11-04,"2,607,293"
2014-11-05,"2,311,791"
2014-11-06,"2,527,357"
2014-11-07,"2,170,561"
2014-11-08,"1,883,263"
2014-11-09,"1,745,942"
2014-11-10,"1,753,775"
2014-11-11,"1,784,849"
2014-11-12,"1,601,449"
2014-11-13,"1,504,076"
2014-11-14,"1,402,595"
2014-11-15,"1,709,552"
2014-11-16,"1,792,321"
2014-11-17,"1,430,214"
2014-11-18,"1,571,415"
2014-11-19,"2,561,053"
2014-11-20,"3,222,176"
2014-11-21,"2,052,645"
2014-11-22,"2,131,069"
2014-11-23,"2,726,116"
2014-11-24,"2,655,784"
2014-11-25,"2,735,821"
2014-11-26,"3,239,194"
2014-11-27,"2,219,789"
2014-11-28,"1,835,685"
2014-11-29,"1,911,058"
2014-11-30,"2,045,095"
2014-12-01,"1,819,056"
2014-12-02,"1,774,108"
2014-12-03,"1,704,962"
2014-12-04,"2,538,932"
2014-12-05,"2,147,550"
2014-12-06,"2,256,690"
2014-12-07,"3,281,878"
2014-12-08,"2,995,542"
2014-12-09,"3,261,384"
2014-12-10,"2,546,613"
2014-12-11,"1,737,304"
2014-12-12,"1,696,645"
2014-12-13,"1,570,369"
2014-12-14,"2,698,415"
2014-12-15,"2,232,242"
2014-12-16,"2,758,175"
2014-12-17,"3,282,302"
2014-12-18,"2,992,421"
2014-12-19,"2,904,910"
2014-12-20,"1,709,509"
2014-12-21,"2,106,900"
2014-12-22,"1,781,077"
2014-12-23,"1,635,217"
2014-12-24,"1,569,848"
2014-12-25,"848,538"
2014-12-26,"1,195,151"
2014-12-27,"1,395,776"
2014-12-28,"1,993,299"
2014-12-29,"3,244,284"
2014-12-30,"2,873,817"
2014-12-31,"1,742,119"
2015-01-01,"1,356,955"
2015-01-02,"1,865,926"
2015-01-03,"1,898,542"
2015-01-04,"1,781,052"
2015-01-05,"1,713,606"
2015-01-06,"1,717,179"
2015-01-07,"1,545,873"
2015-01-08,"1,762,229"
2015-01-09,"1,661,448"
2015-01-10,"1,380,581"
2015-01-11,"1,449,341"
2015-01-12,"1,752,824"
2015-01-13,"3,521,813"
2015-01-14,"3,273,735"
2015-01-15,"3,055,235"
2015-01-16,"1,846,748"
2015-01-17,"2,395,401"
2015-01-18,"1,998,102"
2015-01-19,"1,842,758"
2015-01-20,"1,926,317"
2015-01-21,"1,746,643"
2015-01-22,"1,771,840"
2015-01-23,"1,675,239"
2015-01-24,"1,732,743"
2015-01-25,"2,302,284"
2015-01-26,"2,251,299"
2015-01-27,"2,205,228"
2015-01-28,"1,738,189"
2015-01-29,"1,792,219"
2015-01-30,"2,168,382"
2015-01-31,"2,245,117"
2015-02-01,"2,772,899"
2015-02-02,"3,208,101"
2015-02-03,"2,229,095"
2015-02-04,"2,330,365"
2015-02-05,"1,680,324"
2015-02-06,"1,741,064"
2015-02-07,"1,792,548"
2015-02-08,"2,511,980"
2015-02-09,"3,356,144"
2015-02-10,"2,234,772"
2015-02-11,"2,142,016"
2015-02-12,"1,546,244"
2015-02-13,"1,503,594"
2015-02-14,"2,609,570"
2015-02-15,"2,107,034"
2015-02-16,"2,128,580"
2015-02-17,"1,883,504"
2015-02-18,"1,880,884"
2015-02-19,"2,666,802"
2015-02-20,"2,489,195"
2015-02-21,"2,184,167"
2015-02-22,"1,714,164"
2015-02-23,"1,860,165"
2015-02-24,"1,697,237"
2015-02-25,"2,911,661"
2015-02-26,"1,900,529"
2015-02-27,"1,588,341"
2015-02-28,"1,190,458"
2015-03-01,"1,472,196"
2015-03-02,"2,294,900"
2015-03-03,"2,089,878"
2015-03-04,"1,700,760"
2015-03-05,"2,099,648"
2015-03-06,"1,473,447"
2015-03-07,"1,696,539"
2015-03-08,"1,355,349"
2015-03-09,"1,745,050"
2015-03-10,"1,866,089"
2015-03-11,"1,877,614"
2015-03-12,"1,690,565"
2015-03-13,"1,600,052"
2015-03-14,"1,666,176"
2015-03-15,"2,438,206"
2015-03-16,"2,239,834"
2015-03-17,"1,620,712"
2015-03-18,"2,150,756"
2015-03-19,"1,964,606"
2015-03-20,"1,482,581"
2015-03-21,"1,349,354"
2015-03-22,"1,318,313"
2015-03-23,"1,628,125"
2015-03-24,"1,758,792"
2015-03-25,"2,694,555"
2015-03-26,"1,917,695"
2015-03-27,"1,669,575"
2015-03-28,"1,411,750"
2015-03-29,"1,338,292"
2015-03-30,"1,716,942"
2015-03-31,"1,353,291"
2015-04-01,"1,076,895"
2015-04-02,"2,146,311"
2015-04-03,"2,320,866"
2015-04-04,"1,570,399"
2015-04-05,"1,181,603"
2015-04-06,"1,324,753"
2015-04-07,"1,271,242"
2015-04-08,"1,708,904"
2015-04-09,"1,455,676"
2015-04-10,"1,374,567"
2015-04-11,"1,370,627"
2015-04-12,"1,230,898"
2015-04-13,"1,305,157"
2015-04-14,"1,369,225"
2015-04-15,"1,053,439"
2015-04-16,"1,435,129"
2015-04-17,"942,051"
2015-04-18,"962,015"
2015-04-19,"755,326"
2015-04-20,"2,064,549"
2015-04-21,"1,639,718"
2015-04-22,"1,493,006"
2015-04-23,"1,611,176"
2015-04-24,"1,449,695"
2015-04-25,"1,480,891"
2015-04-26,"1,014,575"
2015-04-27,"1,173,595"
2015-04-28,"1,717,066"
2015-04-29,"1,790,653"
2015-04-30,"1,143,420"
